department,gender,id,job,name,id_pelicula
Directing,2.0,7879.0,Director,John Lasseter,862
Directing,2.0,4945.0,Director,Joe Johnston,8844
Directing,2.0,26502.0,Director,Howard Deutch,15602
Directing,2.0,2178.0,Director,Forest Whitaker,31357
Directing,2.0,56106.0,Director,Charles Shyer,11862
Directing,2.0,638.0,Director,Michael Mann,949
Directing,2.0,2226.0,Director,Sydney Pollack,11860
Directing,2.0,18357.0,Director,Peter Hewitt,45325
Directing,2.0,37710.0,Director,Peter Hyams,9091
Directing,2.0,10702.0,Director,Martin Campbell,710
Directing,2.0,3026.0,Director,Rob Reiner,9087
Directing,2.0,14639.0,Director,Mel Brooks,12110
Directing,2.0,21879.0,Director,Simon Wells,21032
Directing,2.0,1152.0,Director,Oliver Stone,10858
Directing,2.0,16938.0,Director,Renny Harlin,1408
Directing,2.0,1032.0,Director,Martin Scorsese,524
Directing,2.0,1614.0,Director,Ang Lee,4584
Directing,1.0,3110.0,Director,Allison Anders,5
Directing,2.0,3111.0,Director,Alexandre Rockwell,5
Directing,2.0,2294.0,Director,Robert Rodriguez,5
Directing,2.0,138.0,Director,Quentin Tarantino,5
Directing,2.0,4489.0,Director,Steve Oedekerk,9273
Directing,2.0,52629.0,Director,Joseph Ruben,11517
Directing,2.0,5174.0,Director,Barry Sonnenfeld,8012
Directing,2.0,15148.0,Director,Jon Amiel,1710
Directing,2.0,7187.0,Director,Richard Donner,9691
Directing,2.0,56349.0,Director,Victor Salva,12665
Directing,2.0,6111.0,Director,Mike Figgis,451
Directing,2.0,56710.0,Director,Oliver Parker,16420
Directing,1.0,15798.0,Director,Lesli Linka Glatter,9263
Directing,2.0,7017.0,Director,Roger Michell,17015
Directing,2.0,2419.0,Director,Jean-Pierre Jeunet,902
Directing,0.0,13680.0,Director,Marc Caro,902
Directing,2.0,607.0,Director,Zhang Yimou,37557
Directing,2.0,60295.0,Director,John N. Smith,9909
Directing,2.0,280.0,Director,Terry Gilliam,63
Directing,2.0,2352.0,Director,Jean-Jacques Annaud,78802
Directing,2.0,58137.0,Director,Chris Noonan,9598
Directing,2.0,12952.0,Director,Christopher Hampton,47018
Directing,2.0,504.0,Director,Tim Robbins,687
Directing,2.0,77867.0,Director,Stephen Low,139405
Directing,2.0,17167.0,Director,Andy Tennant,33689
Directing,1.0,57434.0,Director,Amy Heckerling,9603
Directing,0.0,16730.0,Director,Darrell James Roodt,34615
Directing,2.0,33315.0,Director,Richard Loncraine,31174
Directing,2.0,11447.0,Director,Albert Hughes,11443
Directing,2.0,11448.0,Director,Allen Hughes,11443
Directing,2.0,52405.0,Director,Michael Hoffman,35196
Directing,2.0,4014.0,Director,Paul W.S. Anderson,9312
Directing,2.0,5216.0,Director,Gus Van Sant,577
Directing,1.0,3047.0,Director,Jocelyn Moorhouse,11861
Directing,2.0,7467.0,Director,David Fincher,807
Directing,2.0,65530.0,Director,Mike Gabriel,10530
Directing,2.0,65531.0,Director,Eric Goldberg,10530
