id,name,id_pelicula,revenue,budget
10194,Toy Story Collection,862,373554033.0,30000000.0
119050,Grumpy Old Men Collection,15602,0.0,0.0
96871,Father of the Bride Collection,11862,76578911.0,0.0
645,James Bond Collection,710,352194034.0,58000000.0
117693,Balto Collection,21032,11348324.0,0.0
3167,Ace Ventura Collection,9273,212385533.0,30000000.0
91698,Chili Palmer Collection,8012,115101622.0,30250000.0
9435,Babe Collection,9598,254134910.0,30000000.0
9818,Mortal Kombat Collection,9312,122195920.0,18000000.0
136214,Pocahontas Collection,10530,346079773.0,55000000.0
124935,The Lawnmower Man Collection,11525,2409225.0,0.0
43563,Friday Collection,10634,28215918.0,3500000.0
10924,From Dusk Till Dawn Collection,755,25836616.0,19000000.0
122017,Screamers Collection,9102,5781885.0,20000000.0
256377,The Muppet Collection,10874,34327391.0,0.0
91430,The Neverending Story Collection,27793,0.0,17000000.0
14890,Bad Boys Collection,9737,141407024.0,19000000.0
120794,Batman Collection,414,336529144.0,100000000.0
439053,Brooklyn Cigar Store Collection,5894,1275000.0,2000000.0
8819,Casper Collection,8839,287928194.0,50000000.0
9649,Mexico Trilogy,8068,25405445.0,7000000.0
1570,Die Hard Collection,1572,366101666.0,90000000.0
259398,Teenage Apocalypse Trilogy,13552,0.0,0.0
9328,Free Willy Collection,9073,0.0,0.0
286162,Power Rangers Collection,9070,66000000.0,15000000.0
328073,Síť (kolekce),1642,110627965.0,22000000.0
9068,The Prophecy Collection,11980,16.0,8.0
247294,Showgirls Collection,10802,20350754.0,45000000.0
439053,Brooklyn Cigar Store Collection,10149,8349430.0,7000000.0
9887,Species Collection,9348,113374103.0,35000000.0
112399,Under Siege Collection,3512,104324083.0,60000000.0
23170,Burnt by the Sun Trilogy,50797,2616503.0,2800000.0
123800,Before... Collection,76,5535405.0,2500000.0
182813,Clerks Collection,2292,3151130.0,27000.0
96665,Dumb and Dumber Collection,8467,247275374.0,16000000.0
410261,A Goofy Movie Collection,15789,35348597.0,0.0
217704,The Vampire Chronicles,628,223664608.0,60000000.0
10,Star Wars Collection,11,775398007.0,11000000.0
286948,Nemesis Collection,63105,0.0,0.0
300546,Once were Warriors Collection,527,2201126.0,0.0
48188,Poison Ivy Collection,18220,0.0,0.0
131,Three Colors Collection,110,0.0,0.0
131,Three Colors Collection,108,0.0,0.0
131,Three Colors Collection,109,0.0,0.0
144200,Swan Princess Series,22586,9771658.0,35000000.0
53159,The Santa Clause Collection,11395,189833357.0,22000000.0
115142,Tales from the Crypt Collection,9059,0.0,0.0
115570,Star Trek: The Next Generation Collection,193,120000000.0,38000000.0
3167,Ace Ventura Collection,3049,107217396.0,15000000.0
192492,The Jack Ryan Collection,9331,215887717.0,62000000.0
9436,The Crow Collection,9495,94000000.0,15000000.0
351684,The Flintstones (Live-Action) Collection,888,341631208.0,46000000.0
94032,The Lion King Collection,8587,788241776.0,45000000.0
8581,A Nightmare on Elm Street Collection,11596,18090181.0,14000000.0
43072,The Mask Collection,854,351583407.0,23000000.0
37139,Naked Gun Collection,36593,51132598.0,30000000.0
167985,Richie Rich Collection,11011,0.0,40000000.0
43064,Speed Collection,1637,350448145.0,30000000.0
170452,Timecop Collection,8831,101646581.0,27000000.0
261203,Street Fighter,11667,99423521.0,35000000.0
439409,Fear Collection,75555,0.0,0.0
8050,Highlander Collection,8011,36800000.0,26000000.0
11716,Addams Family Collection,2758,48919043.0,0.0
162028,Stakeout Collection,9409,0.0,0.0
85861,Beverly Hills Cop Collection,306,119208989.0,50000000.0
150156,City Slickers Collection,11310,0.0,0.0
252313,The Endless Summer Collection,24257,0.0,0.0
9328,Free Willy Collection,1634,153698625.0,20000000.0
134011,The Fugitive / U.S. Marshals Collection,5503,368875760.0,44000000.0
412680,Hard Target Collection,2019,74189677.0,18000000.0
52988,Hot Shots! Collection,9255,133752825.0,25000000.0
159600,House Party Collection,16097,0.0,0.0
328,Jurassic Park Collection,329,920100000.0,63000000.0
8580,The Karate Kid Collection,11231,15826984.0,12000000.0
5547,RoboCop Collection,5550,10696210.0,22000000.0
462565,The Secret Garden Collection,11236,0.0,0.0
105075,The Shadow Collection,8850,48063435.0,25000000.0
422837,Blade Runner Collection,78,33139618.0,28000000.0
224478,The Brady Bunch Collection,9066,0.0,0.0
9888,Home Alone Collection,771,476684675.0,18000000.0
86027,Aladdin Collection,812,504050219.0,28000000.0
528,The Terminator Collection,280,520000000.0,100000000.0
120794,Batman Collection,268,411348924.0,35000000.0
9743,The Hannibal Lecter Anthology,274,272742922.0,19000000.0
153010,Beauty and the Beast Collection,10020,377350553.0,25000000.0
98580,Candyman Collection,10824,13940383.0,0.0
43058,Homeward Bound Collection,25059,32709423.0,0.0
141086,Heavy Metal Collection,11827,0.0,9300000.0
8917,Hellraiser Collection,8766,16675000.0,4000000.0
140910,All Dogs Go to Heaven Collection,19042,8620678.0,0.0
87359,Mission: Impossible Collection,954,457696359.0,80000000.0
