name,id,id_pelicula,revenue
Pixar Animation Studios,3.0,862,373554033.0
TriStar Pictures,559.0,8844,262797249.0
Teitler Film,2550.0,8844,262797249.0
Interscope Communications,10201.0,8844,262797249.0
Warner Bros.,6194.0,15602,0.0
Lancaster Gate,19464.0,15602,0.0
Twentieth Century Fox Film Corporation,306.0,31357,81452156.0
Sandollar Productions,5842.0,11862,76578911.0
Touchstone Pictures,9195.0,11862,76578911.0
Regency Enterprises,508.0,949,187436818.0
Forward Pass,675.0,949,187436818.0
Warner Bros.,6194.0,949,187436818.0
Paramount Pictures,4.0,11860,0.0
Scott Rudin Productions,258.0,11860,0.0
Mirage Enterprises,932.0,11860,0.0
Sandollar Productions,5842.0,11860,0.0
Constellation Entertainment,14941.0,11860,0.0
Worldwide,55873.0,11860,0.0
Mont Blanc Entertainment GmbH,58079.0,11860,0.0
Walt Disney Pictures,2.0,45325,0.0
Universal Pictures,33.0,9091,64350171.0
Imperial Entertainment,21437.0,9091,64350171.0
Signature Entertainment,23770.0,9091,64350171.0
United Artists,60.0,710,352194034.0
Eon Productions,7576.0,710,352194034.0
Columbia Pictures,5.0,9087,107879496.0
Castle Rock Entertainment,97.0,9087,107879496.0
Columbia Pictures,5.0,12110,0.0
Castle Rock Entertainment,97.0,12110,0.0
Enigma Pictures,6368.0,12110,0.0
Universal Pictures,33.0,21032,11348324.0
Amblin Entertainment,56.0,21032,11348324.0
Amblimation,4105.0,21032,11348324.0
Hollywood Pictures,915.0,10858,13681765.0
Cinergi Pictures Entertainment,1504.0,10858,13681765.0
Le Studio Canal+,183.0,1408,10017322.0
Laurence Mark Productions,415.0,1408,10017322.0
Metro-Goldwyn-Mayer (MGM),8411.0,1408,10017322.0
Carolco Pictures,14723.0,1408,10017322.0
Universal Pictures,33.0,524,116112375.0
Légende Entreprises,10898.0,524,116112375.0
Syalis DA,11583.0,524,116112375.0
De Fina-Cappa,11584.0,524,116112375.0
Columbia Pictures Corporation,441.0,4584,135000000.0
Mirage Enterprises,932.0,4584,135000000.0
Miramax Films,14.0,5,4300000.0
A Band Apart,59.0,5,4300000.0
O Entertainment,5682.0,9273,212385533.0
Warner Bros.,6194.0,9273,212385533.0
Morgan Creek Productions,10210.0,9273,212385533.0
Columbia Pictures,5.0,11517,35431113.0
Jersey Films,216.0,8012,115101622.0
Metro-Goldwyn-Mayer (MGM),8411.0,8012,115101622.0
Regency Enterprises,508.0,1710,0.0
New Regency Pictures,10104.0,1710,0.0
Silver Pictures,1885.0,9691,30303072.0
Canal+,5358.0,9691,30303072.0
Warner Bros.,6194.0,9691,30303072.0
Dino De Laurentiis Company,10308.0,9691,30303072.0
Donner/Shuler-Donner Productions,23397.0,9691,30303072.0
Evansgideon/Lazar,25061.0,9691,30303072.0
Caravan Pictures,175.0,12665,0.0
Hollywood Pictures,915.0,12665,0.0
United Artists,60.0,451,49800000.0
Intial Productions,15547.0,451,49800000.0
Columbia Pictures,5.0,16420,0.0
Castle Rock Entertainment,97.0,16420,0.0
New Line Cinema,12.0,9263,27400000.0
BBC Films,288.0,17015,0.0
Procirep,311.0,902,1738611.0
Constellation Productions,590.0,902,1738611.0
France 3 Cinéma,591.0,902,1738611.0
Claudie Ossard Productions,592.0,902,1738611.0
Eurimages,850.0,902,1738611.0
MEDIA Programme of the European Union,851.0,902,1738611.0
Cofimage 5,1871.0,902,1738611.0
Televisión Española (TVE),6639.0,902,1738611.0
Tele München Fernseh Produktionsgesellschaft (TMG),7237.0,902,1738611.0
Club d'Investissement Média,8170.0,902,1738611.0
Canal+ España,9335.0,902,1738611.0
Elías Querejeta Producciones Cinematográficas S.L.,12009.0,902,1738611.0
Centre National de la Cinématographie (CNC),18367.0,902,1738611.0
Victoires Productions,25020.0,902,1738611.0
Constellation,25021.0,902,1738611.0
Lumière Pictures,25129.0,902,1738611.0
Canal+,47532.0,902,1738611.0
Studio Image,68517.0,902,1738611.0
Cofimage 4,79437.0,902,1738611.0
Ossane,79438.0,902,1738611.0
Phoenix Images,79439.0,902,1738611.0
Ministère des Affaires Étrangères,2588.0,37557,0.0
Alpha Films,4507.0,37557,0.0
La Sept Cinéma,23647.0,37557,0.0
Hollywood Pictures,915.0,9909,180000000.0
Via Rosa Productions,10103.0,9909,180000000.0
Don Simpson/Jerry Bruckheimer Films,10288.0,9909,180000000.0
Universal Pictures,33.0,63,168840000.0
Atlas Entertainment,507.0,63,168840000.0
Classico,17031.0,63,168840000.0
Iwerks Entertainment,70801.0,78802,0.0
Universal Pictures,33.0,9598,254134910.0
Kennedy Miller Productions,2537.0,9598,254134910.0
